id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
CLT0001,Royer,Maryse,thamel@example.org,1988-05-21,Homme,marrakech,0613686703,2020-02-24,paid_ads
CLT0002,Hamon,Michelle,auberthonore@example.net,1966-02-26,Femme,Marrakech,0634459254,2022-03-07,email_campaign
CLT0003,Duval,Noémi,hbenoit@example.org,2034-01-01,male,agadir,0668430114,2022-07-12,referral
CLT0004,Courtois,Clémence,adrienne66@example.net,2002-07-30,male,Tanger,0787940118,2021-05-30,referral
CLT0005,Valentin,Lucas,leleualphonse@example.com,1976-03-19,0,TANGER,0641405757,2022-10-14,paid_ads
CLT0006,Legros,Alexandre,marc57@example.com,1970-08-18,male,Oujda,0683345618,2020-05-19,social_media
CLT0007,Jean,Xavier,vbodin@example.org,1998-12-17,female,FES,0741417234,2020-07-07,referral
CLT0008,Godard,Victoire,pierrelenoir@example.net,1977-12-04,1,FES,0797763195,2023-07-09,paid_ads
CLT0009,Robin,Thomas,chretienedith@example.com,1968-01-11,0,Tanger,0669396068,2021-06-05,referral
CLT0010,Lefèvre,Colette,arnaudelouis@example.org,1987-12-11,female,Fès,0698075697,2023-12-30,paid_ads
CLT0011,Legendre,André,qbernier@example.com,1988-10-11,Homme,Oujda,0726224590,2020-03-01,social_media
CLT0012,Rey,Christelle,theophileteixeira@example.net,1981-08-31,h,meknès,0687915686,2020-06-07,social_media
CLT0013,Barbier,Emmanuelle,smallet@example.org,1996-06-16,Femme,marrakech,0743069552,2021-09-29,email_campaign
CLT0014,Guillou,Lucie,lesagepierre@example.net,1979-07-08,1,Fès,0797076360,2022-01-30,social_media
CLT0015,Lelièvre,André,pmendes@example.net,2003-03-30,Homme,Agadir,0724735736,2023-03-21,email_campaign
CLT0016,Lopes,Paulette,celine48@example.net,1960-01-01,1,Fes,0767729521,2021-10-28,email_campaign
CLT0017,Chevalier,Stéphanie,raymond71@example.org,1987-06-27,female,CASABLANCA,0654237316,2023-11-04,email_campaign
CLT0018,Renard,Alice,kschneider@example.net,1967-04-11,female,marrakech,0716502234,2021-01-30,referral
CLT0019,Pottier,Gilbert,imbertsusanne@example.net,1974-02-09,0,Fès,0644972417,2022-06-29,paid_ads
CLT0020,Millet,Hélène,qneveu@example.com,1994-06-07,Femme,RABAT,0630392518,2023-09-30,email_campaign
CLT0021,Monnier,Hélène,thierry57@example.org,1989-03-08,h,Rabat,0732082240,2024-10-19,paid_ads
CLT0022,Grenier,Susanne,omercier@example.com,2029-01-01,Homme,Fes,0668169749,2024-12-06,organic
CLT0023,Chrétien,Inès,augustincharpentier@example.org,1996-05-11,Homme,Tanger,0630573831,2024-07-25,paid_ads
CLT0024,Munoz,Sébastien,emilie30@example.net,1977-04-12,f,Fes,0625925535,2020-07-26,paid_ads
CLT0025,Duval,Claire,julietessier@example.net,1962-08-10,m,casablanca,0798177018,2023-03-07,paid_ads
CLT0026,Denis,Nicole,pichonchristine@example.org,1985-03-26,male,OUJDA,0697315746,2020-05-19,email_campaign
CLT0027,Paul,Lucie,augustin09@example.com,1960-08-29,f,CASABLANCA,0685240455,2024-04-26,email_campaign
CLT0028,Maurice,Capucine,jseguin@example.com,1987-09-04,f,Fes,0723819146,2020-02-25,organic
CLT0029,Ferreira,Michelle,martine23@example.org,1961-09-06,h,Tanger,0649457665,2024-05-22,email_campaign
CLT0030,Lévêque,Lorraine,jeanneadam@example.net,1958-11-14,0,Oujda,0677083601,2024-09-29,email_campaign
CLT0031,Fontaine,Antoine,courtoissuzanne@example.org,2004-11-01,0,CASABLANCA,0665864558,2023-08-22,email_campaign
CLT0032,Chauvin,Marcelle,philippineschmitt@example.net,1978-09-01,0,FES,0691497447,2022-06-11,social_media
CLT0033,Diaz,Susan,raymondleleu@example.org,1956-12-30,h,OUJDA,0681541769,2021-08-28,organic
CLT0034,Daniel,André,goncalvesamelie@example.org,1969-07-02,f,Agadir,0784365177,2023-01-20,paid_ads
CLT0035,Léger,Josette,pauline95@example.org,1998-05-25,1,Tanger,0646599308,2020-04-06,social_media
CLT0036,Lecoq,Jules,delormearthurexample.org,1958-08-07,Homme,casablanca,0770928618,2023-05-16,referral
